temps1,data1,temps2,data2
28.2728246,632.3023904,25.7252146,632.3023904
25.0482551,691.7050171,26.44210141,673.5910215
26.6438403,699.4095066,25.66117159,710.0541958
27.7234798,657.2684683,28.23121368,630.1979103
25.861766,698.7313386,26.30928711,675.5879064
28.9202461,569.8709813,24.48694025,714.6069139
24.9103722,654.9980349,25.80403096,729.1779351
23.9255043,699.4017163,26.37138888,725.3294804
26.0744957,717.1285896,23.51820092,730.5189511
25.1034228,736.3607521,23.31476427,729.9947075
33.4981388,49.67266244,20.55479998,667.0383866
30.8301971,38.81274509,23.23080014,696.6808453
21.9411162,72.28134563,25.61160887,722.5671363
22.1379873,129.8761107,24.02892558,735.2408075
25.2969851,230.9351109,22.20813941,710.8965263
26.6852357,349.8646703,22.64601104,708.4729184
22.9317665,474.0463284,22.12611333,696.2527867
22.0042902,556.7727877,21.49134601,675.32045
27.1515042,607.2062454,24.47992433,714.4336973
26.0078456,668.4413955,22.46171198,706.4360632
22.0780719,675.113398,23.65974744,723.1062144
26.0893915,704.376189,22.78234157,717.081317
23.3890094,718.3043071,24.46588227,735.7097488
29.1422197,557.3717977,24.93795569,745.7960093
21.6705004,603.9643384,25.65407841,746.2355484
21.9792118,638.0714349,23.69071289,742.8626202
20.701135,626.0269373,22.51402385,721.0827905
29.5233475,479.3794948,21.67050038,691.65633
31.5054498,198.498184,22.8484958,702.7920998
24.689144,325.6551971,24.30329547,727.6162463
21.6848013,432.4689421,23.75978988,734.7950054
28.1368906,479.1309525,23.57369344,735.8632241
22.493208,569.6067593,22.40846509,715.5670292
23.2729835,641.9280925,23.59729799,726.8246489
27.7347592,628.013763,22.34325718,709.8816984
24.6960804,689.3149994,20.21720642,648.6579417
28.6204265,591.3017958,20.70113497,631.5084739
21.7411286,625.5570311,21.44416207,640.9939749
28.0461203,601.2668999,20.81440034,630.4379896
23.6752512,666.3360106,18.70148834,569.9764078
24.4869402,709.6996753,20.12044975,574.1971853
28.3876252,618.6768532,21.79612096,616.8136254
26.2097612,671.2537586,24.0874033,679.6250682
26.3402526,697.0323154,22.44052839,688.6461302
21.3631109,672.5258886,21.68480131,676.2603198
25.4500608,711.563979,25.33862193,714.3497247
23.7138283,726.3452022,26.61918133,711.382317
26.1493011,728.9834715,25.35946891,732.212116
29.2076859,555.2853722,24.50796818,743.3255193
32.9149448,76.94251903,24.38839113,748.0601256
23.1537979,142.6605991,24.2390375,749.3189844
24.73766,250.1766118,25.92717646,744.0572246
24.3883911,386.6185091,21.22643953,691.193227
23.9847788,517.8378133,24.58483466,723.1278821
21.1360532,567.3457102,23.29809914,726.1553079
25.9271765,645.84849,25.42911521,738.9918062
27.0865722,660.3804229,19.90650539,653.3825027
26.4263066,689.2042463,24.43071529,702.4422215
24.3671752,721.0772556,24.21752726,726.8299784
28.9393825,577.7298161,25.22773655,740.6291762
24.3104112,658.0876383,27.04998626,708.9367054
23.8129783,699.861282,27.83842338,655.1466272
30.9677485,331.2250745,26.19459242,691.7134181
26.1192799,462.957555,26.85484681,692.5963282
23.3726136,571.7629735,28.50865399,601.6657794
24.7307345,656.0721985,24.903475,674.2493797
20.9820953,642.4817728,20.92097965,650.1016636
18.9574625,582.6095666,21.82314267,659.7855661
27.4345487,610.6164063,23.49423378,696.757146
22.2081394,646.7455858,22.93176651,706.8913272
22.3976988,670.5555167,21.53751905,681.6221116
24.820649,712.8157278,21.69901314,673.0923359
24.1164865,731.2169761,20.27856345,632.7311192
29.2300469,553.9437123,20.60496887,620.7724739
26.2325838,632.1083661,23.65197961,677.3140633
27.8267067,617.7655309,20.01724565,627.8224882
24.4025148,682.3677284,16.50186116,515.0007767
23.0753201,702.1007734,20.39467156,548.1584042
24.7653458,729.1324368,20.74730891,576.9100874
25.3525177,741.0140522,23.69842823,652.0513607
25.3177944,746.9809838,23.18819634,688.010278
26.933496,716.3715752,18.24252568,585.3589952
25.8256387,729.7417397,17.44360119,516.0533958
23.5499833,733.1023926,21.87628539,582.4956373
25.8545288,737.4786855,22.16157662,629.571828
30.8971292,351.8477479,19.78683071,597.8805838
34.0489485,11.85637131,21.37957352,620.9508618
23.9106085,24.5363695,22.81084843,664.42341
21.0020325,44.4884395,22.0167364,671.6668094
25.4920318,88.31507046,25.26926552,712.3402036
25.6682692,164.6616206,21.72717538,688.8510599
23.6286111,277.0304264,21.47573319,671.297938
25.151728,416.5648243,19.86768671,620.9005102
25.0137865,546.2659032,19.46125027,584.898194
27.7918606,571.6585638,21.00203251,604.5366354
25.7896534,650.4354635,22.37604555,646.7605359
19.1698029,592.1138089,23.6675046,691.9952559
26.9071067,637.0700009,21.13605321,664.3480344
28.9012977,543.4584575,22.05371355,672.4544677
23.0928933,622.8283922,21.62704767,666.7495237
25.6469896,682.4250005,22.56545127,684.53713
20.8790891,653.0678969,20.1856133,635.8159732
24.8689791,703.4183666,21.32978871,640.5387914
29.0790204,557.1983433,27.03182884,659.6440064
24.0946835,643.7702597,23.8506989,701.1160756
27.4859762,641.816673,24.37425131,727.2120813
23.1881963,682.4519203,21.17270461,682.0620515
26.9957768,682.8421492,24.70301493,718.7196832
21.6270477,671.9842242,22.5756348,710.8671019
25.1310209,713.1289538,23.4540317,722.4977383
22.8857442,714.1775298,22.5959028,713.1036168
20.4497733,656.9269597,21.19077808,675.9001006
20.5800683,632.5962339,20.3376563,635.6736732
22.7148784,669.124273,23.58944137,684.894766
28.3438912,603.0254987,21.41211519,667.7734471
20.2172064,594.9969126,23.38081867,699.3731073
21.966578,632.6780804,22.71487837,704.1285464
22.5140238,665.2813289,22.92260868,710.409892
22.7918702,688.145679,21.11746729,672.7423702
21.8365392,679.5971542,22.41919183,684.6699878
27.1421553,675.6434505,21.91538955,679.6877586
29.4968935,503.5451766,23.88820445,712.1294178
23.6051432,603.4815025,28.28686265,627.1787483
23.4701517,664.9884045,27.93407849,608.9401237
26.6191813,686.4000102,28.53999405,558.7335255
26.2784868,706.299453,23.21381011,634.3216377
21.0217618,668.3182758,24.28192011,691.0371151
26.0004771,702.4107465,25.19316911,722.8339123
25.3942604,727.4526521,23.02212099,721.382473
24.3175223,739.9606579,23.3396467,725.9545403
24.2247026,745.3521489,24.12374175,737.7584135
26.8721915,717.8554535,24.95863907,746.7616683
25.2277366,736.2137826,26.22496689,737.1235034
24.9862135,745.9781493,24.6544313,746.2228062
21.8096703,706.6379552,24.54295154,750.2036895
26.7270165,704.2685485,23.00422318,734.0761222
22.2196556,696.2738029,22.58578519,718.4297402
22.9226087,706.482244,28.00821772,649.0460977
26.3247488,715.3645202,26.80324837,672.2574876
28.1501389,638.2394052,26.68523573,688.2148185
26.7102569,669.3786564,26.47383507,702.4412372
25.6895888,707.4957348,26.58650354,706.4752794
25.5833773,728.3327014,25.50604717,728.5763944
22.7823416,719.5954784,24.31752227,740.5086258
25.4012262,735.9874849,24.79300788,748.1040661
24.965533,745.8989998,24.20316054,749.0652664
27.0408964,711.7385639,23.36439392,739.5841242
29.7518194,489.9880788,24.82064902,747.6818001
29.4708493,417.5863714,23.7138283,743.8386162
26.6273864,527.3531417,26.2631468,734.8898989
23.110389,612.6907599,25.29005246,744.2058388
25.0206799,680.5599751,27.1515042,706.4164923
23.1451532,702.3446538,25.89077492,723.8119288
25.2761927,728.1898594,21.96657797,699.9905883
23.3396467,729.2598727,23.83563701,721.9820718
24.1527024,739.6141799,22.39769877,708.7325866
25.0689395,747.4361343,22.47224748,703.8727006
21.7687863,706.3205918,23.38900939,718.0523224
19.9065054,638.5735514,22.96817116,718.0926824
26.5946518,672.9667227,25.55520707,733.8947095
19.5126684,612.1891885,27.32429597,693.9721854
20.9001533,617.2417011,23.88072009,719.4203881
28.6368891,555.5273758,24.86897912,737.8692208
21.9538797,609.0172568,26.32474884,730.6222556
23.6207997,670.1808539,25.15172796,742.8159508
30.7058505,356.918995,26.37920035,731.6282986
21.0987023,448.9928505,27.12353134,701.7413315
19.4612503,483.4146969,25.90531646,721.2353626
22.829723,578.4193771,27.60230123,674.2072744
23.7826406,653.928131,30.53874973,379.9424209
21.9153895,663.9057135,25.81122797,510.7012601
23.066504,692.3247022,31.04253754,260.7784948
18.4945502,593.9678402,30.29880058,211.2561367
24.6474823,669.398361,27.76887677,300.689015
25.2831217,711.0592843,30.05566509,255.0840567
22.3542284,702.5175267,31.12208237,147.9904367
22.605988,703.5424159,27.61310759,229.5722412
24.1237417,726.6318112,29.52334747,239.2730764
25.034467,741.2293102,26.6603533,359.7061632
24.9724266,748.4109237,26.7947105,475.3213684
30.6478095,389.4264054,27.09577649,556.2264673
21.2614775,478.7543992,28.0717135,561.6682793
24.3459216,592.4929662,25.97841456,641.5269529
28.1903297,574.5194177,24.09468354,693.6202048
28.9979675,504.2152261,24.4166227,723.628526
21.8231427,573.6151425,27.44476576,683.4137652
25.804031,651.4506519,24.68220561,719.3794363
25.0551495,702.3066764,26.76919986,709.1069056
24.5987738,728.851464,23.39718586,720.785571
26.8032484,712.5051819,25.69670453,733.644583
29.7827936,486.7204828,26.5459683,722.8170693
22.0537136,566.533471,28.7559653,594.7900721
